學生編號,年齡,性別,學業程度／年級,國家,每日平均使用社群媒體時數,"	最常使用的社群平台",是否影響學業表現,每晚睡眠時數,心理健康分數,感情狀況,"	是否因社群媒體產生衝突",成癮程度分數
1,19,女性,大學,Bangladesh,5.2,Instagram,Yes,6.5,6,戀愛中,3,8
2,22,男性,研究生,India,2.1,Twitter,No,7.5,8,單身,0,3
3,20,女性,大學,USA,6,TikTok,Yes,5,5,關係複雜,4,9
4,18,男性,高中,UK,3,YouTube,No,7,7,單身,1,4
5,21,男性,研究生,Canada,4.5,Facebook,Yes,6,6,戀愛中,2,7
6,19,女性,大學,Australia,7.2,Instagram,Yes,4.5,4,關係複雜,5,9
7,23,男性,研究生,Germany,1.5,LinkedIn,No,8,9,單身,0,2
8,20,女性,大學,Brazil,5.8,Snapchat,Yes,6,6,戀愛中,2,8
9,18,男性,高中,Japan,4,TikTok,No,6.5,7,單身,1,5
10,21,女性,研究生,South Korea,3.3,Instagram,No,7,7,戀愛中,1,4
11,19,男性,大學,France,4.8,Snapchat,Yes,6.2,5,關係複雜,3,7
12,20,女性,大學,Spain,5.5,TikTok,Yes,5.8,6,戀愛中,2,8
13,22,男性,研究生,Italy,2.8,LinkedIn,No,7.2,8,單身,1,4
14,18,女性,高中,Mexico,6.5,Instagram,Yes,5.5,5,單身,4,9
15,21,男性,大學,Russia,3.7,YouTube,No,6.8,7,戀愛中,2,5
16,20,女性,大學,China,4.2,TikTok,Yes,6,6,關係複雜,3,7
17,24,男性,研究生,Sweden,2,LinkedIn,No,7.8,8,單身,0,3
18,19,女性,高中,Norway,5,Instagram,Yes,5.7,5,戀愛中,3,8
19,21,男性,大學,Denmark,3.5,Facebook,No,6.7,7,單身,1,5
20,20,女性,大學,Netherlands,4.7,Snapchat,Yes,5.9,6,關係複雜,3,7
21,18,男性,高中,Belgium,5.3,TikTok,Yes,5.5,5,單身,4,8
22,23,女性,研究生,Switzerland,2.5,LinkedIn,No,7.3,8,戀愛中,1,4
23,19,男性,大學,Austria,4.9,Instagram,Yes,5.8,6,關係複雜,3,7
24,20,女性,大學,Portugal,5.7,TikTok,Yes,5.4,5,單身,4,8
25,22,男性,研究生,Greece,3.2,Facebook,No,6.9,7,戀愛中,2,5
26,19,女性,高中,Ireland,6.1,Instagram,Yes,5.2,5,關係複雜,4,9
27,21,男性,大學,New Zealand,3.8,YouTube,No,6.6,7,單身,1,5
28,20,女性,大學,Singapore,4.4,TikTok,Yes,5.9,6,戀愛中,3,7
29,24,男性,研究生,Malaysia,2.2,LinkedIn,No,7.4,8,單身,0,3
30,19,女性,高中,Thailand,5.9,Instagram,Yes,5.3,5,關係複雜,4,8
31,21,男性,大學,Vietnam,3.6,Facebook,No,6.7,7,單身,1,5
32,20,女性,大學,Philippines,4.8,Snapchat,Yes,5.7,6,戀愛中,3,7
33,18,男性,高中,Indonesia,5.4,TikTok,Yes,5.4,5,關係複雜,4,8
34,23,女性,研究生,Taiwan,2.6,LinkedIn,No,7.2,8,單身,1,4
35,19,男性,大學,Hong Kong,4.7,Instagram,Yes,5.8,6,戀愛中,3,7
36,20,女性,大學,Turkey,5.6,TikTok,Yes,5.5,5,關係複雜,4,8
37,22,男性,研究生,Israel,3.1,Facebook,No,6.8,7,單身,1,5
38,19,女性,高中,UAE,6.2,Instagram,Yes,5.1,5,戀愛中,4,9
39,21,男性,大學,Egypt,3.9,YouTube,No,6.5,7,關係複雜,2,6
40,20,女性,大學,Morocco,4.5,TikTok,Yes,5.8,6,單身,3,7
41,24,男性,研究生,South Africa,2.3,LinkedIn,No,7.3,8,戀愛中,1,4
42,19,女性,高中,Nigeria,5.8,Instagram,Yes,5.4,5,關係複雜,4,8
43,21,男性,大學,Kenya,3.7,Facebook,No,6.6,7,單身,2,5
44,20,女性,大學,Ghana,4.6,Snapchat,Yes,5.7,6,戀愛中,3,7
45,18,男性,高中,Argentina,5.5,TikTok,Yes,5.3,5,單身,4,8
46,23,女性,研究生,Chile,2.7,LinkedIn,No,7.1,8,關係複雜,1,4
47,19,男性,大學,Colombia,4.8,Instagram,Yes,5.9,6,戀愛中,3,7
48,20,女性,大學,Peru,5.5,TikTok,Yes,5.6,5,單身,4,8
49,22,男性,研究生,Venezuela,3.3,Facebook,No,6.7,7,戀愛中,2,5
50,19,女性,高中,Ecuador,6.3,Instagram,Yes,5.2,5,關係複雜,4,9
51,21,男性,大學,Uruguay,3.8,YouTube,No,6.4,7,單身,2,6
52,20,女性,大學,Paraguay,4.7,TikTok,Yes,5.8,6,戀愛中,3,7
53,24,男性,研究生,Bolivia,2.4,LinkedIn,No,7.2,8,關係複雜,1,4
54,19,女性,高中,Costa Rica,5.7,Instagram,Yes,5.5,5,單身,4,8
55,21,男性,大學,Panama,3.6,Facebook,No,6.5,7,戀愛中,2,5
56,20,女性,大學,Jamaica,4.9,Snapchat,Yes,5.6,6,關係複雜,3,7
57,18,男性,高中,Trinidad,5.6,TikTok,Yes,5.2,5,單身,4,8
58,23,女性,研究生,Bahamas,2.8,LinkedIn,No,7,8,戀愛中,1,4
59,19,男性,大學,Iceland,4.6,Instagram,Yes,5.9,6,關係複雜,3,7
60,20,女性,大學,Finland,5.4,TikTok,Yes,5.7,5,單身,4,8
61,22,男性,研究生,Poland,3.1,Facebook,No,7.1,7,單身,1,5
62,19,女性,大學,Romania,5.6,Instagram,Yes,5.6,5,戀愛中,3,8
63,20,男性,大學,Hungary,4.2,TikTok,Yes,6,6,關係複雜,3,7
64,18,女性,高中,Czech Republic,6.1,Snapchat,Yes,5.2,4,單身,4,9
65,23,男性,研究生,Slovakia,2.3,LinkedIn,No,7.4,8,戀愛中,1,3
66,21,女性,大學,Croatia,4.8,Instagram,Yes,5.8,6,單身,3,7
67,20,男性,大學,Serbia,3.9,YouTube,No,6.5,7,關係複雜,2,6
68,19,女性,高中,Slovenia,5.7,TikTok,Yes,5.4,5,戀愛中,4,8
69,22,男性,研究生,Bulgaria,2.8,LinkedIn,No,7.2,8,單身,1,4
70,20,女性,大學,Estonia,4.5,Instagram,Yes,5.9,6,關係複雜,3,7
71,18,男性,高中,Latvia,5.4,Snapchat,Yes,5.5,5,單身,4,8
72,21,女性,研究生,Lithuania,3.2,Facebook,No,6.8,7,戀愛中,2,5
73,19,男性,大學,Ukraine,4.9,TikTok,Yes,5.7,6,關係複雜,3,7
74,20,女性,大學,Moldova,5.8,Instagram,Yes,5.3,5,單身,4,8
75,23,男性,研究生,Belarus,2.5,LinkedIn,No,7.3,8,戀愛中,1,4
76,21,女性,大學,Kazakhstan,4.6,Snapchat,Yes,5.8,6,單身,3,7
77,19,男性,高中,Uzbekistan,5.5,TikTok,Yes,5.4,5,關係複雜,4,8
78,22,女性,研究生,Kyrgyzstan,2.9,Facebook,No,7,7,戀愛中,2,5
79,20,男性,大學,Tajikistan,4.7,YouTube,Yes,5.9,6,單身,3,7
80,18,女性,高中,Armenia,5.9,Instagram,Yes,5.2,5,關係複雜,4,9
81,21,男性,研究生,Georgia,3,LinkedIn,No,7.1,8,戀愛中,1,4
82,19,女性,大學,Azerbaijan,4.8,TikTok,Yes,5.7,6,單身,3,7
83,20,男性,大學,Cyprus,3.8,Facebook,No,6.6,7,關係複雜,2,6
84,22,女性,研究生,Malta,2.7,LinkedIn,No,7.2,8,戀愛中,1,4
85,18,男性,高中,Luxembourg,5.6,Snapchat,Yes,5.3,5,單身,4,8
86,21,女性,大學,Monaco,4.5,Instagram,Yes,5.8,6,關係複雜,3,7
87,19,男性,高中,Andorra,5.3,TikTok,Yes,5.5,5,戀愛中,4,8
88,23,女性,研究生,San Marino,2.6,LinkedIn,No,7.3,8,單身,1,4
89,20,男性,大學,Vatican City,4.4,YouTube,Yes,6,6,關係複雜,3,7
90,18,女性,高中,Liechtenstein,5.8,Instagram,Yes,5.2,5,單身,4,9
91,22,男性,研究生,Montenegro,2.9,Facebook,No,7,7,戀愛中,2,5
92,19,女性,大學,Albania,4.7,TikTok,Yes,5.8,6,關係複雜,3,7
93,21,男性,大學,North Macedonia,3.7,Snapchat,No,6.5,7,單身,2,6
94,20,女性,高中,Kosovo,5.5,Instagram,Yes,5.4,5,戀愛中,4,8
95,23,男性,研究生,Bosnia,2.4,LinkedIn,No,7.4,8,關係複雜,1,4
96,19,女性,大學,Qatar,4.9,TikTok,Yes,5.7,6,單身,3,7
97,18,男性,高中,Kuwait,5.7,Snapchat,Yes,5.3,5,戀愛中,4,8
98,22,女性,研究生,Bahrain,2.8,LinkedIn,No,7.1,8,關係複雜,1,4
99,20,男性,大學,Oman,4.6,Instagram,Yes,5.9,6,單身,3,7
100,21,女性,大學,Jordan,5.4,TikTok,Yes,5.5,5,戀愛中,4,8
101,19,男性,高中,Lebanon,5.8,YouTube,Yes,5.2,5,關係複雜,4,9
102,23,女性,研究生,Iraq,2.5,LinkedIn,No,7.3,8,單身,1,4
103,20,男性,大學,Yemen,4.7,Facebook,Yes,5.8,6,戀愛中,3,7
104,18,女性,高中,Syria,5.6,Instagram,Yes,5.4,5,單身,4,8
105,22,男性,研究生,Afghanistan,2.9,LinkedIn,No,7,7,關係複雜,2,5
106,19,女性,大學,Pakistan,4.8,TikTok,Yes,5.7,6,戀愛中,3,7
107,21,男性,大學,Nepal,3.8,YouTube,No,6.6,7,單身,2,6
108,20,女性,高中,Bhutan,5.5,Snapchat,Yes,5.5,5,關係複雜,4,8
109,23,男性,研究生,Sri Lanka,2.6,LinkedIn,No,7.2,8,戀愛中,1,4
110,19,女性,大學,Maldives,4.9,Instagram,Yes,5.8,6,單身,3,7
111,20,男性,大學,Bangladesh,6.1,Instagram,Yes,6.2,5,單身,4,8
112,21,女性,大學,India,5.8,TikTok,Yes,5.9,6,戀愛中,3,7
113,19,男性,大學,Nepal,4.9,Facebook,No,7.1,7,單身,2,5
114,22,女性,研究生,Pakistan,5.5,Instagram,Yes,6,5,單身,4,8
115,20,男性,大學,Sri Lanka,5.2,TikTok,Yes,6.3,6,戀愛中,3,7
116,19,女性,大學,Maldives,4.8,Instagram,No,7.2,8,單身,2,5
117,21,男性,研究生,Bangladesh,6,Facebook,Yes,5.8,5,戀愛中,4,8
118,20,女性,大學,India,5.7,Instagram,Yes,6.1,6,單身,3,7
119,22,男性,研究生,Nepal,4.7,TikTok,No,7.3,7,單身,2,5
120,19,女性,大學,Pakistan,5.4,Instagram,Yes,6.2,5,戀愛中,4,8
121,20,男性,大學,Sri Lanka,5.9,Facebook,Yes,5.9,6,單身,3,7
122,21,女性,研究生,Maldives,4.6,Instagram,No,7.4,8,戀愛中,2,5
123,19,男性,大學,Bangladesh,5.3,TikTok,Yes,6.3,5,單身,4,8
124,22,女性,研究生,India,5.8,Instagram,Yes,5.8,6,戀愛中,3,7
125,20,男性,大學,Nepal,4.5,Facebook,No,7.5,7,單身,2,5
126,21,女性,研究生,Pakistan,5.2,Instagram,Yes,6.4,5,戀愛中,4,8
127,19,男性,大學,Sri Lanka,5.7,TikTok,Yes,5.7,6,單身,3,7
128,20,女性,大學,Maldives,4.4,Instagram,No,7.6,8,戀愛中,2,5
129,22,男性,研究生,Bangladesh,5.1,Facebook,Yes,6.5,5,單身,4,8
130,21,女性,研究生,India,5.6,Instagram,Yes,5.6,6,戀愛中,3,7
131,19,男性,大學,Nepal,4.3,TikTok,No,7.7,7,單身,2,5
132,20,女性,大學,Pakistan,5,Instagram,Yes,6.6,5,戀愛中,4,8
133,22,男性,研究生,Sri Lanka,5.5,Facebook,Yes,5.5,6,單身,3,7
134,21,女性,研究生,Maldives,4.2,Instagram,No,7.8,8,戀愛中,2,5
135,19,男性,大學,Bangladesh,4.9,TikTok,Yes,6.7,5,單身,4,8
136,20,女性,大學,India,5.4,Instagram,Yes,5.4,6,戀愛中,3,7
137,22,男性,研究生,Nepal,4.1,Facebook,No,7.9,7,單身,2,5
138,21,女性,研究生,Pakistan,4.8,Instagram,Yes,6.8,5,戀愛中,4,8
139,19,男性,大學,Sri Lanka,5.3,TikTok,Yes,5.3,6,單身,3,7
140,20,女性,大學,Maldives,4,Instagram,No,8,8,戀愛中,2,5
141,22,男性,研究生,Bangladesh,4.7,Facebook,Yes,6.9,5,單身,4,8
142,21,女性,研究生,India,5.2,Instagram,Yes,5.2,6,戀愛中,3,7
143,19,男性,大學,Nepal,3.9,TikTok,No,8.1,7,單身,2,5
144,20,女性,大學,Pakistan,4.6,Instagram,Yes,7,5,戀愛中,4,8
145,22,男性,研究生,Sri Lanka,5.1,Facebook,Yes,5.1,6,單身,3,7
146,21,女性,研究生,Maldives,3.8,Instagram,No,8.2,8,戀愛中,2,5
147,19,男性,大學,Bangladesh,4.5,TikTok,Yes,7.1,5,單身,4,8
148,20,女性,大學,India,5,Instagram,Yes,5,6,戀愛中,3,7
149,22,男性,研究生,Nepal,3.7,Facebook,No,8.3,7,單身,2,5
150,21,女性,研究生,Pakistan,4.4,Instagram,Yes,7.2,5,戀愛中,4,8
151,19,男性,大學,Sri Lanka,4.9,TikTok,Yes,4.9,6,單身,3,7
152,20,女性,大學,Maldives,3.6,Instagram,No,8.4,8,戀愛中,2,5
153,22,男性,研究生,Bangladesh,4.3,Facebook,Yes,7.3,5,單身,4,8
154,21,女性,研究生,India,4.8,Instagram,Yes,4.8,6,戀愛中,3,7
155,19,男性,大學,Nepal,3.5,TikTok,No,8.5,7,單身,2,5
156,20,女性,大學,Pakistan,4.2,Instagram,Yes,7.4,5,戀愛中,4,8
157,22,男性,研究生,Sri Lanka,4.7,Facebook,Yes,4.7,6,單身,3,7
158,21,女性,研究生,Maldives,3.4,Instagram,No,8.6,8,戀愛中,2,5
159,19,男性,大學,Bangladesh,4.1,TikTok,Yes,7.5,5,單身,4,8
160,20,女性,大學,India,4.6,Instagram,Yes,4.6,6,戀愛中,3,7
161,19,女性,大學,Bangladesh,5.3,Instagram,Yes,6.1,5,單身,3,7
162,21,男性,研究生,India,4.8,Facebook,No,7.2,7,戀愛中,2,6
163,20,女性,大學,Nepal,5.5,TikTok,Yes,5.9,6,單身,4,8
164,22,男性,研究生,Pakistan,4.7,Instagram,Yes,6.3,5,戀愛中,3,7
165,19,女性,大學,Sri Lanka,5.1,Facebook,No,7,7,單身,2,5
166,21,男性,研究生,Maldives,5.4,TikTok,Yes,6,6,戀愛中,4,8
167,20,女性,大學,Bangladesh,4.9,Instagram,Yes,6.4,5,單身,3,7
168,22,男性,研究生,India,5.2,Facebook,No,7.1,7,戀愛中,2,6
169,19,女性,大學,Nepal,5.6,TikTok,Yes,5.8,6,單身,4,8
170,21,男性,研究生,Pakistan,4.6,Instagram,Yes,6.5,5,戀愛中,3,7
171,20,女性,大學,Sri Lanka,5,Facebook,No,7.3,7,單身,2,5
172,22,男性,研究生,Maldives,5.3,TikTok,Yes,5.7,6,戀愛中,4,8
173,19,女性,大學,Bangladesh,4.8,Instagram,Yes,6.6,5,單身,3,7
174,21,男性,研究生,India,5.1,Facebook,No,7.4,7,戀愛中,2,6
175,20,女性,大學,Nepal,5.7,TikTok,Yes,5.6,6,單身,4,8
176,22,男性,研究生,Pakistan,4.5,Instagram,Yes,6.7,5,戀愛中,3,7
177,19,女性,大學,Sri Lanka,4.9,Facebook,No,7.5,7,單身,2,5
178,21,男性,研究生,Maldives,5.2,TikTok,Yes,5.5,6,戀愛中,4,8
179,20,女性,大學,Bangladesh,4.7,Instagram,Yes,6.8,5,單身,3,7
180,22,男性,研究生,India,5,Facebook,No,7.6,7,戀愛中,2,6
181,19,女性,大學,Nepal,5.8,TikTok,Yes,5.4,6,單身,4,8
182,21,男性,研究生,Pakistan,4.4,Instagram,Yes,6.9,5,戀愛中,3,7
183,20,女性,大學,Sri Lanka,4.8,Facebook,No,7.7,7,單身,2,5
184,22,男性,研究生,Maldives,5.1,TikTok,Yes,5.3,6,戀愛中,4,8
185,19,女性,大學,Bangladesh,4.6,Instagram,Yes,7,5,單身,3,7
186,21,男性,研究生,India,4.9,Facebook,No,7.8,7,戀愛中,2,6
187,20,女性,大學,Nepal,5.9,TikTok,Yes,5.2,6,單身,4,8
188,22,男性,研究生,Pakistan,4.3,Instagram,Yes,7.1,5,戀愛中,3,7
189,19,女性,大學,Sri Lanka,4.7,Facebook,No,7.9,7,單身,2,5
190,21,男性,研究生,Maldives,5,TikTok,Yes,5.1,6,戀愛中,4,8
191,20,女性,大學,Bangladesh,4.5,Instagram,Yes,7.2,5,單身,3,7
192,22,男性,研究生,India,4.8,Facebook,No,8,7,戀愛中,2,6
193,19,女性,大學,Nepal,6,TikTok,Yes,5,6,單身,4,8
194,21,男性,研究生,Pakistan,4.2,Instagram,Yes,7.3,5,戀愛中,3,7
195,20,女性,大學,Sri Lanka,4.6,Facebook,No,8.1,7,單身,2,5
196,22,男性,研究生,Maldives,4.9,TikTok,Yes,4.9,6,戀愛中,4,8
197,19,女性,大學,Bangladesh,4.4,Instagram,Yes,7.4,5,單身,3,7
198,21,男性,研究生,India,4.7,Facebook,No,8.2,7,戀愛中,2,6
199,20,女性,大學,Nepal,6.1,TikTok,Yes,4.8,6,單身,4,8
200,22,男性,研究生,Pakistan,4.1,Instagram,Yes,7.5,5,戀愛中,3,7
201,19,女性,大學,Sri Lanka,4.5,Facebook,No,8.3,7,單身,2,5
202,21,男性,研究生,Maldives,4.8,TikTok,Yes,4.7,6,戀愛中,4,8
203,20,女性,大學,Bangladesh,4.3,Instagram,Yes,7.6,5,單身,3,7
204,22,男性,研究生,India,4.6,Facebook,No,8.4,7,戀愛中,2,6
205,19,女性,大學,Nepal,6.2,TikTok,Yes,4.6,6,單身,4,8
206,21,男性,研究生,Pakistan,4,Instagram,Yes,7.7,5,戀愛中,3,7
207,20,女性,大學,Sri Lanka,4.4,Facebook,No,8.5,7,單身,2,5
208,22,男性,研究生,Maldives,4.7,TikTok,Yes,4.5,6,戀愛中,4,8
209,19,女性,大學,Bangladesh,4.2,Instagram,Yes,7.8,5,單身,3,7
210,21,男性,研究生,India,4.5,Facebook,No,8.6,7,戀愛中,2,6
211,20,女性,大學,Nepal,6.3,TikTok,Yes,4.4,6,單身,4,8
212,22,男性,研究生,Pakistan,3.9,Instagram,Yes,7.9,5,戀愛中,3,7
213,19,女性,大學,Sri Lanka,4.3,Facebook,No,8.7,7,單身,2,5
214,21,男性,研究生,Maldives,4.6,TikTok,Yes,4.3,6,戀愛中,4,8
215,20,女性,大學,Bangladesh,4.1,Instagram,Yes,8,5,單身,3,7
216,22,男性,研究生,India,4.4,Facebook,No,8.8,7,戀愛中,2,6
217,19,女性,大學,Nepal,6.4,TikTok,Yes,4.2,6,單身,4,8
218,21,男性,研究生,Pakistan,3.8,Instagram,Yes,8.1,5,戀愛中,3,7
219,20,女性,大學,Sri Lanka,4.2,Facebook,No,8.9,7,單身,2,5
220,22,男性,研究生,Maldives,4.5,TikTok,Yes,4.1,6,戀愛中,4,8
221,19,女性,大學,USA,6.5,Instagram,Yes,6,5,單身,4,9
222,21,男性,研究生,UK,5.8,TikTok,Yes,6.5,6,戀愛中,3,7
223,20,女性,大學,Australia,4.5,Instagram,No,7.5,8,單身,2,5
224,22,男性,研究生,Germany,4.2,Facebook,No,7.8,7,戀愛中,2,4
225,19,女性,大學,Japan,3.8,LINE,No,7.9,8,單身,1,3
226,21,男性,研究生,Italy,5.5,Instagram,Yes,6.8,6,單身,3,7
227,20,女性,大學,South Korea,5.2,KakaoTalk,Yes,6.5,6,戀愛中,3,6
228,22,男性,研究生,Russia,4.8,VKontakte,No,7.2,7,單身,2,5
229,19,女性,大學,USA,7,TikTok,Yes,5.8,4,戀愛中,4,9
230,21,男性,研究生,UK,5.5,Instagram,Yes,6.7,6,單身,3,7
231,20,女性,大學,Australia,4.7,Facebook,No,7.4,7,戀愛中,2,5
